cnf_path,clause_count,var_count,tseitin_var_count,compile_time,timestamp,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_075.cnf,8732,3766,1426,0.000,1712704318.3833635,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_003.cnf,499,200,99,0.000,1712707921.0860837,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_170.cnf,24098,8146,7884,0.000,1712711523.914652,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_158.cnf,20199,6870,6608,0.000,1712715126.7861626,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_162.cnf,41764,14245,13817,0.000,1712718729.3041906,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_102.cnf,22451,7238,3118,0.000,1712722331.5722842,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_182.cnf,50402,17131,16223,0.000,1712725933.9419053,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_164.cnf,1234477,296258,277563,0.000,1712729551.2548022,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_114.cnf,58273,21224,18242,0.000,1712733153.6331565,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_060.cnf,26242,9531,8642,0.000,1712736755.9425378,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_086.cnf,8820,3435,2402,0.000,1712740357.8430789,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_172.cnf,81492,27719,26730,0.000,1712743961.0716305,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_188.cnf,14613,5248,4825,0.000,1712747563.218085,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
